ID,collection_date,longitude,latitude,days_collection
2229,2024-12-17,4022646.94230325,2976875.50715073,330
1695,2024-12-18,3999320.33055133,2978995.29855016,331
1752,2024-12-18,4004469.18913432,2979090.44738945,331
1803,2024-12-18,4002849.09628902,2942285.74177234,331
1905,2024-12-18,4012486.61422953,2944908.51823218,331
1922,2024-12-18,4000660.01195487,2942103.40646142,331
1947,2024-12-18,4020046.31700202,2952875.33017794,331
2228,2024-12-18,3973941.44360706,2927756.56637047,331
1821,2024-12-19,4007688.78431984,2979749.14645732,332
1875,2024-12-19,3994341.66601088,2968623.24376156,332
1988,2024-12-19,3977675.876598,2928986.10001787,332
2518,2024-12-19,4015806.12089967,2985147.84517871,332
2600,2024-12-19,4015759.55950459,2950689.76322401,332
1797,2024-12-20,3997725.87964191,2971884.46789717,333
1818,2024-12-20,4040411.75911695,2955689.91711063,333
1888,2024-12-20,4026810.56826736,2991192.91150359,333
2121,2024-12-20,4005808.911531,2979700.79808274,333
2927,2024-12-20,4017389.59685952,2985738.03535759,333
1705,2024-12-21,3983628.02630432,2943135.76868255,334
1882,2024-12-21,3994028.04566904,2949119.54797452,334
2049,2024-12-21,3987275.83029814,2943135.93937736,334
2494,2024-12-21,3978838.34413278,2936634.14929161,334
2531,2024-12-21,4014531.05076892,2987702.94491683,334
1740,2024-12-22,4028176.12793631,2971323.51247466,335
1991,2024-12-22,4019939.33388954,2980776.64264533,335
2026,2024-12-22,3981751.25664758,2938032.57296301,335
2265,2024-12-22,4037806.54323268,2954719.36480736,335
2579,2024-12-22,4014629.27443509,2982615.21125245,335
1767,2024-12-23,3992949.27036967,2971063.35551427,336
1820,2024-12-23,3994681.4139526,2968427.1711443,336
1923,2024-12-23,3998540.54846481,2941680.27223924,336
2174,2024-12-23,4003744.84051174,2978082.64410985,336
2369,2024-12-23,3985378.6146769,2957130.59598815,336
2475,2024-12-23,4020908.18275896,2976969.61223823,336
2784,2024-12-23,3976424.63446462,2929438.37506037,336
2905,2024-12-23,4033727.48256491,2964214.55691445,336
1959,2024-12-24,4013434.25911693,2982849.93864978,337
2011,2024-12-24,4032115.29791919,2956021.96616386,337
2054,2024-12-24,3991368.34286131,2967584.27613897,337
2079,2024-12-24,3984080.97619752,2961701.69020214,337
2492,2024-12-24,3990534.05812965,2968353.35043928,337
2759,2024-12-24,4014307.23752333,2980646.86975462,337
1886,2024-12-25,4017025.51997763,2988073.73627998,338
1912,2024-12-25,4039272.4346463,2955880.47341023,338
2134,2024-12-25,4016317.88764897,2983252.53311627,338
2176,2024-12-25,4036497.3797061,2954456.03385062,338
2001,2024-12-26,4023420.95529378,2984833.08322371,339
2111,2024-12-26,4016587.17630894,2982619.78013763,339
2677,2024-12-26,3993876.33903091,2969907.63667178,339
3092,2024-12-26,3983328.99233974,2957588.90341861,339
2068,2024-12-27,4014214.35481242,2968531.92922526,340
2171,2024-12-27,4027670.29708085,2969229.62220865,340
2103,2024-12-28,4018865.68821594,2982417.88317436,341
2166,2024-12-28,3983187.86857825,2954905.82111373,341
2991,2024-12-28,4000486.06616265,2977397.20575195,341
3166,2024-12-28,4021323.94562662,2953635.73728433,341
2235,2024-12-29,3990142.75841931,2976594.047442,342
2239,2024-12-29,4035686.23919363,2955457.36859069,342
2360,2024-12-29,3985229.38030608,2933572.73097676,342
2434,2024-12-29,4022170.92903478,2955046.84206983,342
2488,2024-12-29,3983544.70900135,2957596.71064352,342
2206,2024-12-30,3981428.61721592,2963113.5720617,343
3196,2024-12-30,4007223.96612796,2981184.4850339,343
2190,2025-01-01,4020005.4091244,2951693.61326065,345
2205,2025-01-01,3998943.61477752,2976310.49094134,345
2208,2025-01-01,3984166.12683672,2947984.71965142,345
2285,2025-01-01,4023882.11400593,2972694.64269168,345
2287,2025-01-01,4033379.57872712,2965982.48147136,345
2293,2025-01-01,4016940.60951536,2977968.78716702,345
2317,2025-01-01,4001776.4035028,2979589.74627248,345
2321,2025-01-01,3993852.11322744,2966891.94634256,345
2322,2025-01-01,3983546.78810441,2962367.52276311,345
2323,2025-01-01,3985819.55430174,2951250.04520827,345
2340,2025-01-01,4018433.72824709,2956575.94414851,345
2354,2025-01-01,3973650.28184794,2928399.58304328,345
2363,2025-01-01,4001031.81798738,2946134.50098055,345
2374,2025-01-01,3998198.82622675,2940496.0116241,345
2407,2025-01-01,3981681.37434542,2963207.70643604,345
2418,2025-01-01,3981219.39824204,2960141.67654823,345
2433,2025-01-01,4021248.87705188,2953220.73968923,345
2462,2025-01-01,3991194.09568498,2976618.3526939,345
2463,2025-01-01,3993235.9828154,2973818.015748,345
2470,2025-01-01,4005414.51016145,2943623.89907401,345
2489,2025-01-01,4040495.80545918,2964871.7704482,345
2509,2025-01-01,4005185.79583562,2937707.23311492,345
2519,2025-01-01,4024599.09377573,2991465.61777341,345
2544,2025-01-01,3981271.39184363,2958912.56115219,345
2615,2025-01-01,4025091.45241666,2969628.71945751,345
2616,2025-01-01,3986124.44896938,2954412.21534466,345
2617,2025-01-01,3992001.11119555,2945236.44851748,345
2619,2025-01-01,4039393.46981037,2955475.09505488,345
2690,2025-01-01,4003091.30112482,2973789.20023607,345
2695,2025-01-01,3989127.06138467,2973221.05331232,345
2708,2025-01-01,3993188.86303045,2966835.21951449,345
2712,2025-01-01,3991127.69928358,2973764.32530029,345
2714,2025-01-01,3982539.9184664,2958255.52434328,345
2717,2025-01-01,3986486.33269833,2952985.27466082,345
2742,2025-01-01,4037222.33141645,2965653.02939535,345
2750,2025-01-01,3977310.41977253,2937874.46274112,345
2754,2025-01-01,4039894.07896288,2956866.57187651,345
2764,2025-01-01,3978935.12722215,2927349.45801916,345
2777,2025-01-01,4015452.46825234,2967746.28896607,345
2801,2025-01-01,3990291.68990502,2947852.6426368,345
2812,2025-01-01,4020927.99753732,2989141.65300885,345
2828,2025-01-01,4033000.29209971,2956119.96820554,345
2840,2025-01-01,4002815.59138077,2973151.58128629,345
2874,2025-01-01,4038228.8997728,2955426.33868538,345
2876,2025-01-01,3993794.35314053,2948885.47209153,345
2892,2025-01-01,4015284.16033642,2987984.440572,345
2903,2025-01-01,4036762.55401198,2956375.63040419,345
2929,2025-01-01,4038958.57564961,2959532.73774504,345
2931,2025-01-01,4025299.142118,2953684.889731,345
2940,2025-01-01,4022918.94998571,2990850.35365768,345
2949,2025-01-01,3972419.14377043,2930518.10389321,345
2952,2025-01-01,4009159.9352539,2944140.99817697,345
2962,2025-01-01,3984369.36798669,2947527.82642254,345
2974,2025-01-01,4007059.08932779,2944960.65588087,345
2975,2025-01-01,3993474.65254865,2948853.13110534,345
2979,2025-01-01,3991310.08539372,2971346.74884382,345
2986,2025-01-01,3992007.35413981,2976047.20067367,345
2994,2025-01-01,4009673.17383299,2981805.81202688,345
3000,2025-01-01,4020457.50740315,2953396.17767089,345
3028,2025-01-01,3985297.60007818,2931107.37349027,345
3037,2025-01-01,4023604.90645048,2995223.53085513,345
3047,2025-01-01,4028182.89576624,2979148.34282017,345
3048,2025-01-01,3988290.18169212,2973524.66063244,345
3060,2025-01-01,4010730.56868437,2981466.30067207,345
3066,2025-01-01,4037684.79125009,2956413.34427761,345
3081,2025-01-01,4031473.547252,2955951.96898929,345
3118,2025-01-01,4019501.14914846,2986434.33659769,345
3124,2025-01-01,3993631.46841082,2930894.57757489,345
3133,2025-01-01,4013324.31246607,2988559.30653526,345
3143,2025-01-01,4017113.36428616,2986059.40498301,345
3153,2025-01-01,3983253.13951645,2962511.97056963,345
3165,2025-01-01,4021526.96331205,2954529.66435785,345
3168,2025-01-01,4025406.29508266,2952240.40231763,345
3189,2025-01-01,4039145.06347525,2953660.15455038,345
3231,2025-01-01,3981832.68279946,2934284.1330526,345
3235,2025-01-01,4021546.40797073,2953988.29311204,345
3252,2025-01-01,4035489.30122483,2965854.44969329,345
3253,2025-01-01,4026780.26951352,2969660.29859673,345
3258,2025-01-01,4021962.67037516,2983351.99313054,345
3291,2025-01-01,3981597.86173419,2970403.4149034,345
3310,2025-01-01,4022578.65682359,2986400.44360421,345
3317,2025-01-01,4013318.66011222,2984493.04084841,345
3322,2025-01-01,3981546.14441152,2963920.70552547,345
3328,2025-01-01,4035245.16011689,2955374.56183535,345
3360,2025-01-01,3993543.1974888,2966554.25790894,345
3373,2025-01-01,4015926.33149171,2986226.28354057,345
3384,2025-01-01,3980186.19178819,2962816.15870217,345
3393,2025-01-01,3983923.02872743,2959067.2565175,345
3395,2025-01-01,3990650.13529092,2973990.57031193,345
3424,2025-01-01,3989129.85869661,2941506.37852079,345
3425,2025-01-01,4039904.20124966,2957144.29515465,345
3438,2025-01-01,3982190.61130389,2949224.65894539,345
3446,2025-01-01,3979859.29576221,2961799.40013239,345
3452,2025-01-01,3991801.13705589,2942347.36629412,345
3455,2025-01-01,3983084.05492994,2956040.48405942,345
3463,2025-01-01,4036651.79814292,2964908.65228282,345
3478,2025-01-01,4039094.87453908,2964796.3397653,345
3485,2025-01-01,3988326.11929964,2945923.81193305,345
3488,2025-01-01,4039283.79442881,2962918.61831496,345
3491,2025-01-01,3997592.62488421,2973840.6811677,345
3511,2025-01-01,4022308.74648357,2974469.72618531,345
3559,2025-01-01,3985972.64141468,2953201.06911552,345
3568,2025-01-01,4019732.09922233,2951875.1341709,345
3584,2025-01-01,4023977.02458077,2973570.68018919,345
3588,2025-01-01,3974213.75165198,2930815.88699496,345
3593,2025-01-01,4023270.95175264,2953402.69939911,345
3602,2025-01-01,3983580.46847356,2959062.05378753,345
3630,2025-01-01,3998950.56175827,2979739.76966957,345
3643,2025-01-01,3983707.95528646,2945221.40999559,345
3644,2025-01-01,3982119.35933035,2946193.58688501,345
3646,2025-01-01,4019185.26061577,2985765.42543701,345
3659,2025-01-01,3998362.24342863,2976958.71675362,345
3668,2025-01-01,3992168.97438979,2969786.9371886,345
3676,2025-01-01,3977750.45016917,2928899.46288225,345
3690,2025-01-01,3991041.0353203,2974360.42383776,345
3692,2025-01-01,4032709.15695313,2956420.12820753,345
3710,2025-01-01,3972418.11640813,2930701.1537682,345
3723,2025-01-01,4043860.88521732,2956831.78316883,345
3735,2025-01-01,4031705.49596586,2956095.19870965,345
3747,2025-01-01,3983721.36246261,2946772.94435527,345
3754,2025-01-01,3987693.75188464,2969687.65556053,345
3759,2025-01-01,4023953.49020784,2954596.62959972,345
3801,2025-01-01,3991357.71032144,2973921.2873204,345
3805,2025-01-01,3977058.16998276,2925993.86114876,345
3814,2025-01-01,4006943.8432807,2944243.26423409,345
3829,2025-01-01,3993794.76428903,2948651.98052036,345
3834,2025-01-01,4022486.24567737,2981637.74717094,345
3847,2025-01-01,4003600.66785214,2947680.00263595,345
3851,2025-01-01,3990840.03578586,2976856.2536139,345
3872,2025-01-01,3982626.68127463,2958594.6088576,345
3873,2025-01-01,3981627.97969643,2959513.66932217,345
3876,2025-01-01,4014649.40798652,2967949.82444364,345
3890,2025-01-01,4037827.16238394,2958674.3264585,345
3893,2025-01-01,3991937.6540405,2971707.97036083,345
3896,2025-01-01,4020215.09223887,2951271.94227212,345
3926,2025-01-01,4023649.72681148,2973352.64613397,345
3931,2025-01-01,4034544.19600834,2966708.39406836,345
3936,2025-01-01,3973679.97060452,2928888.28090672,345
3950,2025-01-01,3992334.13513254,2943887.02006164,345
3962,2025-01-01,3991100.83503116,2948144.67416631,345
3976,2025-01-01,4016378.0354251,2950541.86993234,345
3985,2025-01-01,4036119.34167476,2960599.46205614,345
3997,2025-01-01,4021180.76829123,2953901.53439982,345
4021,2025-01-01,4001031.81798738,2946134.50098055,345
4036,2025-01-01,3993188.86303045,2966835.21951449,345
4040,2025-01-01,3978935.12722215,2927349.45801916,345
